Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(339.0, 423.0)","(937.0, 435.0)","(573.3341674804688, -505.1808776855469, 294.4018859863281)","(343.37, 423.96)","(937.73, 434.8)"
"(344.0, 422.0)","(937.0, 435.0)","(574.4083251953125, -504.69818115234375, 294.89056396484375)","(344.36, 423.95)","(937.01, 434.85)"
"(343.0, 422.0)","(936.0, 435.0)","(574.0463256835938, -504.68878173828125, 294.7051086425781)","(345.61, 424.09)","(935.84, 434.61)"
"(345.0, 426.0)","(934.0, 435.0)","(574.298828125, -503.8971862792969, 295.11553955078125)","(346.95, 424.29)","(934.92, 434.82)"
"(346.0, 424.0)","(935.0, 436.0)","(574.6326293945312, -503.99658203125, 295.0995178222656)","(348.31, 424.44)","(932.94, 435.25)"
"(344.0, 424.0)","(933.0, 435.0)","(573.8881225585938, -504.0487060546875, 294.7676086425781)","(349.95, 424.6)","(931.73, 435.17)"
"(349.0, 423.0)","(930.0, 432.0)","(574.4705200195312, -503.41241455078125, 295.15716552734375)","(351.91, 424.69)","(929.92, 435.03)"
"(349.0, 423.0)","(930.0, 435.0)","(574.531982421875, -503.19921875, 295.040283203125)","(353.23, 424.7)","(928.75, 435.01)"
"(352.0, 426.0)","(923.0, 434.0)","(574.2383422851562, -501.8356018066406, 295.1599426269531)","(354.4, 424.66)","(927.19, 435.03)"
"(357.0, 424.0)","(926.0, 436.0)","(575.7535400390625, -501.65618896484375, 295.7025146484375)","(355.9, 424.95)","(925.1, 435.45)"
"(353.0, 424.0)","(925.0, 434.0)","(574.6956787109375, -502.12799072265625, 295.2555236816406)","(357.52, 425.16)","(923.82, 435.46)"
"(358.0, 424.0)","(923.0, 435.0)","(575.5206298828125, -501.2478942871094, 295.6387023925781)","(358.95, 425.25)","(922.23, 435.23)"
"(362.0, 424.0)","(921.0, 435.0)","(576.1053466796875, -500.5517883300781, 295.9468994140625)","(360.0, 425.49)","(920.96, 435.28)"
"(360.0, 427.0)","(915.0, 435.0)","(574.8751831054688, -499.80328369140625, 295.5279541015625)","(360.9, 425.51)","(919.81, 435.0)"
"(364.0, 424.0)","(916.0, 435.0)","(575.8200073242188, -499.7145690917969, 295.81085205078125)","(363.21, 425.53)","(919.17, 435.29)"
"(364.0, 423.0)","(916.0, 436.0)","(575.8168334960938, -499.723388671875, 295.6908874511719)","(364.41, 425.79)","(917.6, 435.54)"
"(365.0, 426.0)","(916.0, 435.0)","(576.0831298828125, -499.4408264160156, 296.0841369628906)","(365.84, 425.93)","(915.61, 435.56)"
"(368.0, 426.0)","(912.0, 435.0)","(576.1563720703125, -498.6126708984375, 296.13165283203125)","(366.76, 426.0)","(913.59, 435.48)"
"(365.0, 426.0)","(911.0, 436.0)","(575.3806762695312, -498.7579345703125, 295.6815185546875)","(368.58, 426.2)","(911.67, 435.33)"
"(371.0, 426.0)","(912.0, 436.0)","(576.8268432617188, -498.20172119140625, 296.4294128417969)","(371.01, 426.42)","(911.01, 435.65)"
"(374.0, 427.0)","(909.0, 439.0)","(577.12158203125, -497.199462890625, 296.50689697265625)","(373.07, 426.8)","(908.7, 435.95)"
"(375.0, 426.0)","(907.0, 438.0)","(577.0057373046875, -496.9934997558594, 296.4336853027344)","(374.73, 426.94)","(907.11, 436.13)"
"(377.0, 428.0)","(905.0, 438.0)","(577.1907348632812, -496.36199951171875, 296.6704406738281)","(375.39, 426.86)","(905.44, 435.98)"
"(376.0, 430.0)","(904.0, 438.0)","(576.87255859375, -496.1925964355469, 296.64361572265625)","(376.21, 426.79)","(904.3, 435.86)"
"(376.0, 426.0)","(902.0, 436.0)","(576.4562377929688, -496.41253662109375, 296.2609558105469)","(378.07, 426.97)","(903.55, 436.02)"
"(378.0, 428.0)","(902.0, 436.0)","(576.9312744140625, -496.025634765625, 296.6435546875)","(379.68, 427.46)","(902.2, 436.32)"
"(382.0, 428.0)","(900.0, 434.0)","(577.4644165039062, -495.47216796875, 297.0256042480469)","(380.72, 427.71)","(900.53, 436.47)"
"(379.0, 431.0)","(899.0, 436.0)","(576.7738037109375, -495.30511474609375, 296.7726745605469)","(381.89, 427.78)","(899.43, 436.53)"
"(274.0, 422.0)","(898.0, 436.0)","(553.7919921875, -507.8210754394531, 284.233642578125)","(382.69, 427.74)","(898.78, 436.56)"
"(383.0, 428.0)","(898.0, 435.0)","(577.4064331054688, -495.0419616699219, 296.9499206542969)","(383.61, 427.76)","(897.54, 436.58)"
"(385.0, 427.0)","(896.0, 435.0)","(577.5233154296875, -494.6507568359375, 296.94732666015625)","(386.58, 429.48)","(895.92, 436.45)"
"(388.0, 431.0)","(896.0, 432.0)","(578.1971435546875, -494.20758056640625, 297.72027587890625)","(387.87, 429.53)","(894.62, 436.66)"
"(387.0, 428.0)","(895.0, 436.0)","(577.8467407226562, -494.14923095703125, 297.1350402832031)","(388.48, 429.5)","(893.76, 436.78)"
"(391.0, 427.0)","(896.0, 438.0)","(578.8701782226562, -493.7536315917969, 297.4945983886719)","(388.8, 428.22)","(892.6, 436.8)"
"(390.0, 430.0)","(891.0, 436.0)","(577.9454345703125, -493.1593017578125, 297.33135986328125)","(390.06, 428.38)","(891.32, 436.9)"
"(392.0, 428.0)","(888.0, 436.0)","(577.8922119140625, -492.72509765625, 297.1751708984375)","(390.75, 428.2)","(890.53, 437.04)"
"(395.0, 428.0)","(890.0, 436.0)","(578.8298950195312, -492.6297302246094, 297.65692138671875)","(393.28, 430.2)","(888.84, 436.91)"
"(394.0, 430.0)","(887.0, 435.0)","(578.1959228515625, -492.288330078125, 297.52130126953125)","(394.93, 430.34)","(887.56, 437.16)"
"(396.0, 430.0)","(887.0, 438.0)","(578.6785278320312, -491.8436279296875, 297.6196594238281)","(395.78, 430.51)","(886.33, 437.2)"
"(400.0, 430.0)","(886.0, 434.0)","(579.3148193359375, -491.557861328125, 298.155029296875)","(396.87, 430.69)","(885.35, 437.35)"
"(397.0, 430.0)","(884.0, 436.0)","(578.4133911132812, -491.50787353515625, 297.5905456542969)","(398.16, 431.03)","(884.31, 437.35)"
"(398.0, 428.0)","(883.0, 438.0)","(578.4754638671875, -491.2862548828125, 297.3883056640625)","(398.91, 431.07)","(883.51, 437.26)"
"(399.0, 432.0)","(883.0, 439.0)","(578.78662109375, -490.780517578125, 297.769287109375)","(399.7, 431.22)","(882.13, 437.42)"
"(402.0, 431.0)","(881.0, 439.0)","(579.1109619140625, -490.2743835449219, 297.87451171875)","(401.33, 431.27)","(881.28, 437.56)"
